End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.224713738,0,0,0,0,0,0,0,0,0,0,0,0,0.530269564,0,0.078094314,0,0,0,0,0,0,0,0,0.076697987,0,0,0,0,0,0,0,0,0.070108241,0,0,0,0,0,0,0.020116156,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150742167,0,0,0.422906393,0,0,0,0.42635144,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239611348,0.16253714,0,0,0,0,0,0,0.145959352,0,0,0,0,0,0,0,0,0,0,0,0,0.319847358,0,0,0,0,0,0,0,0,0,0,0,0,0.132044801,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.149894525,0,0,0,0.109822346,0,0,0,0,0,0,0.266393702,0.253085607,0,0,0,0.064326169,0.113244365,0,0,0,0,0,0,0,0,0,0,0,0.043233287,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.017247216,0.017172686,0.142349516,0.121456234,0,0,0,0,0,0,0,0,0,0.127542759,0,0,0,0,0,0,0.2237054,0,0,0,0,0,0,0,0,0,0,0,0,0.103821858,0,0,0,0,0.196803039,0,0,0,0.049901292,0
heating,6,0,0.193572781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291260802,0,0,0,0,0,0,0,0.086571381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428595037,0,0,0,0,0,0,0,0
heating,7,0,0,0.108233714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086282399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13545286,0,0,0,0,0,0,0.670031027,0,0,0,0,0,0,0
heating,8,0,0,0,0.151697561,0,0.323498396,0,0,0,0,0,0,0,0.164083499,0,0,0,0,0,0,0,0,0,0,0,0,0.087890813,0,0,0,0,0,0.045991723,0.095261671,0,0,0,0,0,0,0,0,0,0,0.089720436,0,0,0,0,0,0.041855902
heating,9,0.014242556,0,0,0,0.799038435,0,0,0,0,0,0,0.002608611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06268423,0,0,0,0,0,0,0,0,0,0.121426168,0,0,0
cooling,1,0,0,0,0,0,0,0.249647635,0,0,0,0,0,0,0,0,0,0,0,0,0.511541771,0,0.064294887,0,0,0,0,0,0,0,0,0.076204155,0,0,0,0,0,0,0,0,0.076803596,0,0,0,0,0,0,0.021507956,0,0,0,0
