EMM	Total Population	Population Weight
TRE	25042286	0.07680
FRCC	20396346	0.06255
MISW	14219492	0.04361
MISC	11644737	0.03571
MISE	8963030	0.02749
MISS	8889510	0.02726
ISNE	14845063	0.04552
NYCW	11661705	0.03576
NYUP	7315713	0.02243
PJME	24896864	0.07635
PJMW	22661090	0.06949
PJMC	8940339	0.02742
PJMD	8565727	0.02627
SRCA	14834107	0.04549
SRSE	16692223	0.05119
SRCE	12383320	0.03797
SPPS	7587267	0.02327
SPPC	5480305	0.01681
SPPN	4265834	0.01308
SRSG	10007075	0.03069
CANO	15771597	0.04837
CASO	23448646	0.07191
NWPP	13309169	0.04081
RMRG	6233638	0.01912
BASN	8037023	0.02465
