State	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
TRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FRCC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISW	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001493373	0	0.184007347	0	0	0	0	0	0	0.021016996	0.378413589	0	0	0.000468582	0	0	0	0	0	0	0	0.005131618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409468496	0
MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318620077	0.374766128	0	0	0	0	0	0	0	0	0	0	0.306613795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISS	0	0	0	0.225518954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421997838	0	0	0	0	0	0.165800477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186682731	0	0	0	0	0	0	0
ISNE	0	0	0	0	0	0	0.240166512	0	0	0	0	0	0	0	0	0	0	0	0	0.09054943	0	0.464295975	0	0	0	0	0	0	0	0.091593481	0	0	0	0	0	0	0	0	0	0.071361166	0	0	0	0	0	0.042033436	0	0	0	0	0
NYCW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYUP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PJME	0	0	0	0	0	0	0	0.039111914	0	0	0	0	0	0	0	0	0	0	0	0	0.180141804	0	0	0	0	0	0	0	0	0	0.35675939	0	0.019124617	0	0	0	0	0	0.40309394	0	0	0	0	0	0	0	0.001768335	0	0	0	0
PJMW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104503623	0	0	0.018917095	0	0	0.068871974	0	0.031992106	0	0	0	0	0	0	0	0	0	0	0	0	0.515822496	0	0	0.122068886	0	0	0	0	0	0	0	0.058739054	0	0.079084766	0	0
PJMC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PJMD	0	0	0	0	0	0	0	0	0.082392189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093709617	0	0	0	0	0	0	0	0	0	0	0	0	0.823898193	0	0	0	0
SRCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652913789	0	0	0	0	0	0	0.347086212	0	0	0	0	0	0	0	0	0	0
SRSE	0.245372591	0	0	0	0	0	0	0	0	0.064784121	0.632915041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056928247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
