CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	0.999587929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0.000412073	1	1	0.685975621	0.12996846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.366099554	0.623616554	0.999995896	0	0	0	0	0	0.555099157	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.633900447	0.354891719	4.10023E-06	3.8397E-06	0	0	0	0	0	0	0	0	0	0	0	0.999225786	0.983231706	0	0	0	0	0.060192596	0
5	0	1	0	0	0	0	0	0	0	0.314024376	0.211110552	0	1.000000003	0.999904109	0.698280021	0.042269165	0	0	0	0	0	0	0	0	0
6	0	0	0	0.021491725	0	0.173024238	0	0	0	0	0.103821831	0	0	9.5891E-05	0.301719979	0.957730835	0	0	0	0	0	0	0	0	0
7	1	0	0	0	0	0.826971924	0	0	0	0	0	0	0	0	0	0	0.96456734	0.000763026	0	0.052267556	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035432658	1.11895E-05	0.016768294	0.905917085	4.73887E-05	0.000133627	0.127673109	0.939807404	0.991372666
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041815359	0.999952616	0.99986637	0.872326891	0	0.008627334
																									
