CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0.000144093	0.177598179	0.200360453	0.516733153	0.105164121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.123647852	0.235886203	0.168485866	0	0	0	0	0	0.321297228	0.150682851	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.377839618	0.236908057	1.21919E-06	2.12895E-06	0	0	0	0	0	0	0	0	0	0	0	0.228249254	0.144234064	0	0	0	0	0.012765659	0
5	0	0.326420748	0	0	0	0	0	0	0	0.086376011	0.062375164	0	0.106980005	0.237395321	0.172235245	0.008217505	0	0	0	0	0	0	0	0	0
6	0	0	0	0.012839199	0	0.085853259	0	0	0	0	0.094908879	0	0	7.04381E-05	0.230257018	0.576071207	0	0	0	0	0	0	0	0	0
7	0.59734353	0	0	0	0	0.214817119	0	0	0	0	0	0	0	0	0	0	0.177451032	8.16575E-05	0	0.010306662	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014535377	2.6702E-06	0.002569735	0.398337203	1.76375E-05	6.44178E-05	0.079117772	0.208221973	0.297133214
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012576333	0.254565094	0.329693141	0.369751242	0	0.001768669
																									
