End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.286827679,0,0,0,0,0,0,0,0,0,0,0,0.49407318,0,0.065099914,0,0,0,0,0,0,0,0,0.068658292,0,0,0,0,0,0,0,0,0.062652804,0,0,0,0,0,0,0.022688133,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136971901,0,0,0.338237346,0,0,0,0.524790753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.217754494,0.215407544,0,0,0,0,0,0,0.134576989,0,0,0,0,0,0,0,0,0,0,0,0,0.321350256,0,0,0,0,0,0,0,0,0,0,0,0,0.110910717,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.136201916,0,0,0,0.099477856,0,0,0,0,0,0,0.197443631,0.313246169,0,0,0,0.074992794,0.120843954,0,0,0,0,0,0,0,0,0,0,0,0.05779368,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.008593086,0.01536034,0.101343558,0.138014313,0,0,0,0,0,0,0,0,0.122588477,0,0,0,0,0,0,0.237638953,0,0,0,0,0,0,0,0,0,0,0,0,0.103657722,0,0,0,0,0.219900615,0,0,0,0.052902935,0,0,0
heating,6,0.220265181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286476643,0,0,0,0,0,0,0,0.10404116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389217016,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.120010968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126003724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14351695,0,0,0,0,0,0,0.610468359,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.132624204,0,0.292092786,0,0,0,0,0,0,0.184969365,0,0,0,0,0,0,0,0,0,0,0,0,0.123162598,0,0,0,0,0,0.074079359,0.066874488,0,0,0,0,0,0,0,0,0,0,0.064387209,0,0,0,0,0,0.061809991,0,0
heating,9,0,0,0,0.278211432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213173428,0,0,0,0,0,0,0,0,0,0.476941848,0,0,0,0.013027502,0.018645789
cooling,1,0,0,0,0,0,0.271573442,0,0,0,0,0,0,0,0,0,0,0,0.4693805,0,0.058093308,0,0,0,0,0,0,0,0,0.095038677,0,0,0,0,0,0,0,0,0.072086488,0,0,0,0,0,0,0.033827586,0,0,0,0,0,0
