county_name,state_name,cambium_ba,FIPS_code,CDIV,AIA,Population,EMM_pre2020,ASHRAE,COUNTYNS,EMM_2020,county_name_census
Autauga,Alabama,90,1001,6,5,55869,SRSE,3A,161526,SRSE,Autauga County
Baldwin,Alabama,90,1003,6,5,223234,SRSE,2A,161527,SRSE,Baldwin County
Barbour,Alabama,90,1005,6,5,24686,SRSE,3A,161528,SRSE,Barbour County
Bibb,Alabama,89,1007,6,4,22394,SRSE,3A,161529,SRSE,Bibb County
Blount,Alabama,90,1009,6,4,57826,SRSE,3A,161530,SRSE,Blount County
Bullock,Alabama,90,1011,6,5,10101,SRSE,3A,161531,SRSE,Bullock County
Butler,Alabama,90,1013,6,5,19448,SRSE,3A,161532,SRSE,Butler County
Calhoun,Alabama,90,1015,6,4,113605,SRSE,3A,161533,SRSE,Calhoun County
Chambers,Alabama,90,1017,6,4,33254,SRSE,3A,161534,SRSE,Chambers County
Cherokee,Alabama,90,1019,6,4,26196,SRSE,3A,161535,SRSE,Cherokee County
Chilton,Alabama,90,1021,6,4,44428,SRSE,3A,161536,SRSE,Chilton County
Choctaw,Alabama,89,1023,6,4,12589,SRSE,3A,161537,SRSE,Choctaw County
Clarke,Alabama,90,1025,6,5,23622,SRSE,3A,161538,SRSE,Clarke County
Clay,Alabama,90,1027,6,4,13235,SRSE,3A,161539,SRSE,Clay County
Cleburne,Alabama,90,1029,6,4,14910,SRSE,3A,161540,SRSE,Cleburne County
Coffee,Alabama,90,1031,6,5,52342,SRSE,3A,161541,SRSE,Coffee County
Colbert,Alabama,89,1033,6,4,55241,SRSE,3A,161542,SRSE,Colbert County
Conecuh,Alabama,90,1035,6,5,12067,SRSE,3A,161543,SRSE,Conecuh County
Coosa,Alabama,90,1037,6,4,10663,SRSE,3A,161544,SRSE,Coosa County
Covington,Alabama,90,1039,6,4,37049,SRSE,3A,161545,SRSE,Covington County
Crenshaw,Alabama,90,1041,6,4,13772,SRSE,3A,161546,SRSE,Crenshaw County
Cullman,Alabama,89,1043,6,4,83768,SRSE,3A,161547,SRSE,Cullman County
Dale,Alabama,90,1045,6,5,49172,SRSE,3A,161548,SRSE,Dale County
Dallas,Alabama,90,1047,6,5,37196,SRSE,3A,161549,SRSE,Dallas County
DeKalb,Alabama,89,1049,6,4,71513,SRSE,3A,161550,SRSE,DeKalb County
Elmore,Alabama,90,1051,6,4,81209,SRSE,3A,161551,SRSE,Elmore County
Escambia,Alabama,90,1053,6,5,36633,SRSE,3A,161552,SRSE,Escambia County
Etowah,Alabama,90,1055,6,4,102268,SRSE,3A,161553,SRSE,Etowah County
Fayette,Alabama,89,1057,6,4,16302,SRSE,3A,161554,SRSE,Fayette County
Franklin,Alabama,89,1059,6,4,31362,SRSE,3A,161555,SRSE,Franklin County
Geneva,Alabama,90,1061,6,5,26271,SRSE,3A,161556,SRSE,Geneva County
Greene,Alabama,89,1063,6,4,8111,SRSE,3A,161557,SRSE,Greene County
Hale,Alabama,89,1065,6,5,14651,SRSE,3A,161558,SRSE,Hale County
Henry,Alabama,90,1067,6,5,17205,SRSE,3A,161559,SRSE,Henry County
Houston,Alabama,90,1069,6,5,105882,SRSE,3A,161560,SRSE,Houston County
Jackson,Alabama,89,1071,6,4,51626,SRSE,3A,161561,SRSE,Jackson County
Jefferson,Alabama,89,1073,6,4,658573,SRSE,3A,161562,SRSE,Jefferson County
Lamar,Alabama,89,1075,6,4,13805,SRSE,3A,161563,SRSE,Lamar County
Lauderdale,Alabama,89,1077,6,4,92729,SRCE,3A,161564,SRSE,Lauderdale County
Lawrence,Alabama,89,1079,6,4,32924,SRSE,3A,161565,SRSE,Lawrence County
Lee,Alabama,90,1081,6,4,164542,SRSE,3A,161566,SRSE,Lee County
Limestone,Alabama,89,1083,6,4,98915,SRCE,3A,161567,SRSE,Limestone County
Lowndes,Alabama,90,1085,6,5,9726,SRSE,3A,161568,SRSE,Lowndes County
Macon,Alabama,90,1087,6,4,18068,SRSE,3A,161569,SRSE,Macon County
Madison,Alabama,89,1089,6,4,372909,SRCE,3A,161570,SRSE,Madison County
Marengo,Alabama,89,1091,6,5,18863,SRSE,3A,161572,SRSE,Marengo County
Marion,Alabama,89,1093,6,4,29709,SRSE,3A,161573,SRSE,Marion County
Marshall,Alabama,89,1095,6,4,96774,SRSE,3A,161574,SRSE,Marshall County
Mobile,Alabama,90,1097,6,5,413210,SRSE,2A,161575,SRSE,Mobile County
Monroe,Alabama,90,1099,6,5,20733,SRSE,3A,161576,SRSE,Monroe County
Montgomery,Alabama,90,1101,6,5,226486,SRSE,3A,161577,SRSE,Montgomery County
Morgan,Alabama,89,1103,6,4,119679,SRCE,3A,161578,SRSE,Morgan County
Perry,Alabama,89,1105,6,4,8923,SRSE,3A,161579,SRSE,Perry County
Pickens,Alabama,89,1107,6,4,19930,SRSE,3A,161580,SRSE,Pickens County
Pike,Alabama,90,1109,6,5,33114,SRSE,3A,161581,SRSE,Pike County
Randolph,Alabama,90,1111,6,4,22722,SRSE,3A,161582,SRSE,Randolph County
Russell,Alabama,90,1113,6,5,57961,SRSE,3A,161583,SRSE,Russell County
St. Clair,Alabama,90,1115,6,4,89512,SRSE,3A,164997,SRSE,St. Clair County
