building_type,gcam_supplysector,gcam_subsector,gcam_tech,scout_enduse,scout_fuel,scout_tech
comm,cooking,electricity,electric range,cooking,electricity,electric_range_oven_24x24_griddle
comm,cooking,gas,gas range,cooking,natural gas,gas_range_oven_24x24_griddle
comm,cooling,electricity,air conditioning,cooling,electricity,"rooftop_AC, scroll_chiller, res_type_central_AC, reciprocating_chiller, comm_GSHP-cool, centrifugal_chiller, rooftop_ASHP-cool, air-source heat pump, wall-window_room_AC, screw_chiller"
comm,cooling,gas,gas cooling,cooling,natural gas,"gas_eng-driven_RTAC, gas_chiller, res_type_gasHP-cool, gas_eng-driven_RTHP-cool"
comm,heating,refined liquids,fuel furnace,heating,distillate,"oil_boiler, oil_furnace"
comm,heating,electricity,electric furnace,heating,electricity,"electric_res-heat, elec_boiler"
comm,heating,electricity,electric heat pump,heating,electricity,"rooftop_ASHP-heat, comm_GSHP-heat"
comm,heating,gas,gas furnace,heating,natural gas,"gas_eng-driven_RTHP-heat, res_type_gasHP-heat, gas_boiler, gas_furnace"
comm,lighting,electricity,lighting,lighting,electricity,"100W Equivalent CFL Bare Spiral, T5 F28, T8 F28, T8 F32, T8 F59, T8 F96"
comm,lighting,electricity,lighting,lighting,electricity,"100W A19 Incandescent, 100W Equivalent A19 Halogen, Halogen Infrared Reflector (HIR) PAR38, Halogen PAR38, T5 4xF54 HO High Bay, Mercury Vapor, Metal Halide, Sodium Vapor"
comm,lighting,electricity,lighting,lighting,electricity,"100W Equivalent LED A Lamp, LED PAR38, LED Integrated Luminaire"
comm,other,electricity,electricity,MELs,electricity,"elevators, escalators, coffee brewers, kitchen ventilation, laundry, lab fridges and freezers, fume hoods, medical imaging, large video boards, shredders, private branch exchanges, voice-over-IP telecom, IT equipment, office UPS, data center UPS, security systems, distribution transformers, non-road electric vehicles, telecom systems, water services, other"
comm,other,gas,gas,other,natural gas,NA
comm,other,refined liquids,refined liquids,other,distillate,NA
comm,office,electricity,office equipment,"PCs, non-PC office equipment",electricity,NA
comm,refrigeration,electricity,refrigeration,refrigeration,electricity,"Commercial Beverage Merchandisers, Commercial Ice Machines, Commercial Reach-In Freezers, Commercial Reach-In Refrigerators, Commercial Refrigerated Vending Machines, Commercial Supermarket Display Cases, Commercial Walk-In Freezers, Commercial Walk-In Refrigerators"
comm,ventilation,electricity,ventilation,ventilation,electricity,"CAV_Vent, VAV_Vent"
comm,hot water,refined liquids,fuel water heater,water heating,distillate,oil_water_heater
comm,hot water,electricity,electric heat pump water heater,water heating,electricity,HP water heater
comm,hot water,electricity,electric resistance water heater,water heating,electricity,"elec_booster_water_heater, elec_water_heater, Solar water heater"
comm,hot water,gas,gas water heater,water heating,natural gas,"gas_water_heater, gas_instantaneous_WH, gas_booster_WH"
resid,other,electricity,electricity,ceiling fan,electricity,NA
resid,computers,electricity,resid computers,computers,electricity,"desktop PC, laptop PC, network equipment, monitors"
resid,computers,electricity,resid other electricity,computers,electricity,"TV, set top box, DVD, home theatre and audio, video game consoles"
resid,cooking,electricity,electric oven,cooking,electricity,NA
