State,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245372591,0.065198267,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727357095,0,0,0,0,0
Arkansas,0,0,0,0,0,0.225518954,0,0,0,0,0,0,0,0,0,0,0.133519883,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018108688,1,1,0.008322458,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923816237,0
Connecticut,0,0,0,0,0,0,0.240166512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0.039111914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0.082392189,0,0,0,0,0,0,0,0,0,0,0,0
Florida,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.064784121,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632915041,0.004252817,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025468983,0,0.180177909
Illinois,0,0,0.001493373,0.318620077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0.374766128,0,0,0,0,0,0,0.104503623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0.184007347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126254092,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531597055,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0.018917095,0,0,0,0,0.326163824,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0.421997838,0,0,0,0,0,0,0,0,0,0,0.11828238,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0.09054943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0.180141804,0.068871974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0.464295975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,0,0,0.021016996,0,1,0,0,0,0,0,0.031992106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0.378413589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060664105,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0.165800477,0,0,0,0,0,0,0,0,0.056928247,0.044576495,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0.306613795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468402945,0,0,0,0,0,0,0
Montana,0,0,0.000468582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008277865,0,0,0,0.077150046,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448063849,0,0,0,0,0.003696397,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383245886
New Hampshire,0,0,0,0,0,0,0.091593481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0.356759389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03556643,0,0,0.170181497,0,0,0,0.019885338,0
New York,0,0,0,0,0,0,0,1,1,0.019124617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0.093709617,0.652913788,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0.005131618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161537697,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0.515822496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521527844,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316904609,0,0
Pennsylvania,0,0,0,0,0,0,0,0,0,0.40309394,0.122068885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0.071361166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347086212,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195202392,0,0,0,0,0.008335101,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551481671,0,0,0,0,0,0,0,0,0
Texas,1,0,0,0,0,0.186682731,0,0,0,0,0,0,0,0,0,0,0.191103463,0,0,0.08435272,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398898697
Vermont,0,0,0,0,0,0,0.042033436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,0,0.001768335,0.058739054,0,0.823898193,0,0,0.008326927,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572153904,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0.079084766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0.409468496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044266927,0.037677508
