BLDG,CDIV,LOC,NBLDGS,ROOF,WALL,WIND_SOL,WIND_COND,INFIL,PEOPLE,EQUIP,GROUND,TOTAL_HEAT,ROOF,WALL,WIND_SOL,WIND_COND,INFIL,PEOPLE,EQUIP,GROUND,TOTAL_COOL
3,1,1,13.2,-0.07,-0.17,0.06,-0.13,-0.25,0.01,0.08,-0.13,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1,1,3.3,-0.01,-0.03,0.00,-0.04,-0.06,0.00,0.02,-0.02,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2,2,11.1,-0.07,-0.12,0.04,-0.10,-0.19,0.01,0.06,-0.09,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2,2,28.9,-0.07,-0.20,0.00,-0.32,-0.45,0.03,0.19,-0.16,-0.99,0.01,0.01,0.05,0.00,0.02,0.01,0.03,-0.01,0.12
3,3,4,36,-0.10,-0.32,0.01,-0.52,-0.61,0.04,0.24,-0.25,-1.51,0.02,0.03,0.10,0.01,0.03,0.01,0.05,-0.02,0.23
3,4,5,19.7,-0.21,-0.36,0.11,-0.31,-0.52,0.02,0.14,-0.30,-1.44,0.02,0.02,0.06,0.00,0.02,0.00,0.03,-0.02,0.14
3,4,6,19.7,-0.13,-0.22,0.10,-0.20,-0.30,0.02,0.11,-0.16,-0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4,6,39.6,-0.10,-0.25,0.05,-0.44,-0.46,0.03,0.22,-0.19,-1.14,0.04,0.05,0.22,0.02,0.10,0.02,0.11,-0.02,0.54
3,5,7,45.6,-0.30,-0.51,0.24,-0.62,-0.59,0.04,0.24,-0.34,-1.84,0.03,0.02,0.05,0.00,0.02,0.01,0.02,-0.01,0.14
3,5,7,154.7,-0.34,-0.95,0.14,-1.67,-1.77,0.15,0.89,-0.74,-4.28,0.12,0.16,0.62,0.01,0.18,0.07,0.34,-0.09,1.42
3,5,8,25.8,-0.05,-0.12,0.09,-0.18,-0.21,0.02,0.12,-0.08,-0.41,0.03,0.03,0.13,-0.01,0.04,0.01,0.07,-0.01,0.29
3,5,9,10.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.09,0.00,0.06,0.02,0.07,-0.01,0.28
3,6,10,22.5,-0.18,-0.12,0.05,-0.17,-0.18,0.01,0.08,-0.01,-0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,6,10,96.6,-0.18,-0.43,0.32,-0.67,-0.80,0.07,0.43,-0.29,-1.55,0.10,0.10,0.48,-0.04,0.15,0.05,0.27,-0.04,1.08
3,6,11,4.1,-0.01,-0.01,0.01,-0.02,-0.01,0.00,0.01,0.00,-0.03,0.01,0.00,0.02,0.00,0.01,0.00,0.02,-0.01,0.06
3,7,12,19.6,-0.13,-0.08,0.05,-0.11,-0.12,0.01,0.06,-0.04,-0.36,0.12,0.04,0.09,0.01,0.10,0.02,0.07,-0.02,0.41
3,7,12,25.9,-0.05,-0.05,0.09,-0.20,-0.16,0.02,0.10,-0.07,-0.33,0.05,0.03,0.13,0.03,0.11,0.02,0.09,-0.05,0.42
3,7,13,19.6,-0.03,-0.03,0.04,-0.09,-0.07,0.01,0.06,-0.02,-0.13,0.04,0.02,0.11,0.00,0.07,0.02,0.08,-0.04,0.30
3,8,14,3.6,-0.01,-0.03,0.01,-0.04,-0.04,0.00,0.02,-0.02,-0.10,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02
3,8,16,69.2,-0.21,-0.25,0.17,-0.45,-0.49,0.06,0.34,-0.32,-1.14,0.07,0.03,0.11,0.02,0.02,0.01,0.07,-0.08,0.25
3,8,17,21.5,-0.03,-0.02,0.03,-0.04,-0.04,0.01,0.04,-0.02,-0.07,0.08,0.05,0.12,0.04,0.09,0.02,0.08,-0.02,0.44
3,9,19,4.8,-0.01,-0.02,0.05,-0.05,-0.04,0.00,0.03,-0.02,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1,1,1217.5,-9.77,-23.26,7.65,-18.30,-34.15,1.82,10.71,-17.60,-82.91,0.66,0.75,2.04,-0.10,0.69,0.15,0.91,-0.50,4.60
1,1,1,135.2,-0.52,-1.39,0.04,-2.41,-3.04,0.21,1.28,-1.21,-7.05,0.04,0.05,0.25,0.01,0.07,0.02,0.12,-0.05,0.51
1,2,2,2360.9,-21.13,-38.14,12.34,-30.28,-59.96,3.11,19.02,-27.65,-142.69,2.24,2.04,4.56,-0.29,1.98,0.50,2.69,-1.08,12.63
1,2,2,212.6,-0.77,-2.05,0.00,-3.34,-4.78,0.30,1.96,-1.71,-10.38,0.09,0.12,0.41,0.03,0.16,0.04,0.26,-0.09,1.00
1,3,3,961.6,-10.76,-21.41,7.23,-17.71,-30.31,1.47,8.86,-16.49,-79.10,1.23,1.22,2.90,-0.16,1.14,0.23,1.39,-0.77,7.18
1,3,3,203.8,-0.82,-2.57,0.08,-4.19,-4.87,0.30,1.93,-2.04,-12.17,0.16,0.25,0.96,0.06,0.31,0.09,0.48,-0.22,2.08
1,3,4,3409.1,-38.03,-75.68,25.57,-62.60,-107.15,5.19,31.33,-58.28,-279.66,4.93,4.92,11.67,-0.65,4.58,0.93,5.60,-3.10,28.89
1,3,4,276.4,-1.17,-3.66,0.11,-5.96,-6.93,0.43,2.75,-2.91,-17.33,0.19,0.29,1.14,0.08,0.37,0.10,0.57,-0.26,2.48
1,4,5,1414.6,-20.88,-36.38,10.76,-31.53,-52.10,2.23,13.60,-30.44,-144.75,2.15,1.79,5.54,-0.27,1.96,0.38,2.28,-1.69,12.14
1,4,5,103.6,-0.36,-1.17,-0.06,-2.28,-2.10,0.16,1.06,-1.33,-6.08,0.04,0.06,0.34,0.02,0.09,0.04,0.19,-0.11,0.67
1,4,6,1051.2,-9.15,-15.65,6.87,-13.92,-20.94,1.24,7.46,-11.22,-55.31,3.87,3.46,8.37,-0.16,4.79,0.85,4.18,-0.68,24.69
1,4,6,196.6,-0.64,-1.67,0.32,-2.93,-3.07,0.23,1.47,-1.25,-7.55,0.33,0.44,1.79,0.18,0.79,0.18,0.87,-0.13,4.46
1,5,7,1655.3,-15.36,-26.12,12.24,-32.18,-30.52,2.08,12.39,-17.46,-94.94,5.27,3.75,9.38,-0.41,3.80,0.95,3.94,-1.37,25.30
1,5,7,551.5,-1.75,-4.90,0.72,-8.61,-9.15,0.76,4.63,-3.84,-22.14,0.72,0.94,3.77,0.07,1.11,0.44,2.08,-0.55,8.58
1,5,8,166.3,-2.32,-1.51,0.65,-2.19,-2.36,0.19,0.97,-0.09,-6.66,1.08,0.30,0.77,-0.06,0.49,0.12,0.58,0.01,3.30
1,5,8,585.4,-1.39,-3.40,2.54,-5.27,-6.30,0.53,3.40,-2.28,-12.17,0.97,1.05,4.88,-0.38,1.56,0.53,2.73,-0.43,10.90
1,5,9,114.1,-0.18,-0.11,0.04,-0.11,-0.11,0.02,0.11,0.02,-0.31,1.52,0.47,1.31,-0.09,1.52,0.22,1.39,0.24,6.59
1,5,9,185.7,-0.05,-0.04,0.06,-0.13,-0.09,0.02,0.09,0.01,-0.13,0.82,0.41,2.68,-0.11,1.74,0.49,2.16,-0.19,8.01
1,6,10,1110.1,-15.32,-9.94,4.29,-14.43,-15.54,1.22,6.39,-0.59,-43.91,7.10,1.97,5.07,-0.42,3.19,0.81,3.83,0.07,21.62
1,6,10,259.5,-0.68,-1.66,1.24,-2.57,-3.08,0.26,1.66,-1.11,-5.94,0.42,0.45,2.12,-0.17,0.68,0.23,1.18,-0.19,4.73
1,6,11,62.9,-0.48,-0.28,0.15,-0.37,-0.37,0.05,0.26,-0.07,-1.10,0.64,0.17,0.46,-0.04,0.44,0.09,0.41,-0.15,2.02
1,6,11,23.8,-0.05,-0.05,0.08,-0.17,-0.13,0.02,0.10,-0.04,-0.23,0.08,0.04,0.22,0.01,0.14,0.04,0.16,-0.08,0.61
1,7,12,1449.4,-14.04,-8.64,5.20,-12.34,-13.65,1.31,7.06,-4.62,-39.71,12.53,4.03,9.15,0.56,10.10,1.92,7.39,-2.38,43.28
1,7,12,427.5,-1.27,-1.32,2.11,-4.83,-3.84,0.40,2.31,-1.58,-8.02,1.45,0.79,3.65,0.83,2.88,0.59,2.39,-1.29,11.28
1,7,13,103.5,-0.77,-0.45,0.25,-0.60,-0.59,0.08,0.43,-0.12,-1.77,1.01,0.27,0.73,-0.07,0.71,0.15,0.64,-0.24,3.20
1,8,14,383.6,-5.36,-4.42,3.06,-6.65,-5.69,0.63,3.18,-6.56,-21.82,0.41,0.15,0.32,0.00,0.04,0.02,0.18,-0.15,0.97
1,8,14,94.1,-0.39,-1.07,0.58,-1.83,-1.55,0.15,0.88,-0.90,-4.12,0.01,0.02,0.07,0.01,0.01,0.00,0.02,-0.01,0.13
1,8,15,202.6,-2.74,-2.26,1.56,-3.40,-2.91,0.32,1.63,-3.36,-11.16,0.26,0.09,0.20,0.00,0.03,0.01,0.11,-0.09,0.61
1,8,15,75.8,-0.26,-0.72,0.39,-1.24,-1.05,0.10,0.60,-0.61,-2.79,0.03,0.04,0.15,0.02,0.01,0.01,0.05,-0.03,0.29
1,8,16,70.4,-0.77,-0.61,0.50,-0.91,-0.74,0.10,0.49,-0.81,-2.74,0.12,0.04,0.09,0.00,0.01,0.01,0.06,-0.02,0.30
1,8,16,28.5,-0.12,-0.14,0.10,-0.26,-0.28,0.03,0.20,-0.19,-0.66,0.05,0.02,0.08,0.02,0.02,0.01,0.05,-0.06,0.19
1,8,17,115.3,-0.53,-0.37,0.24,-0.44,-0.34,0.08,0.37,-0.30,-1.28,0.39,0.18,0.31,0.07,0.22,0.06,0.23,0.06,1.52
1,9,18,997.4,-22.56,-16.43,4.42,-16.96,-28.53,1.84,10.44,-3.20,-70.99,0.30,0.08,0.24,-0.03,0.01,0.01,0.09,-0.02,0.69
1,9,18,205.6,-0.71,-1.93,-0.01,-5.05,-3.65,0.34,2.05,-0.13,-9.09,0.02,0.02,0.15,0.00,0.00,0.00,0.03,0.00,0.23
1,9,19,690,-16.65,-9.26,7.00,-12.44,-12.43,1.29,6.64,-0.33,-36.19,0.06,0.02,0.04,-0.01,0.00,0.00,0.02,0.00,0.13
1,9,19,75.9,-0.20,-0.49,1.05,-0.95,-0.77,0.09,0.56,-0.50,-1.20,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.04
1,9,20,592,-7.57,-3.92,2.91,-4.67,-4.01,0.69,3.53,-0.20,-13.25,0.67,0.16,0.47,-0.12,-0.12,0.02,0.18,-0.01,1.25
1,9,20,56.5,-0.11,-0.22,0.51,-0.40,-0.30,0.04,0.28,-0.19,-0.38,0.02,0.02,0.09,-0.02,-0.02,0.00,0.04,-0.02,0.11
1,1,1,112.1,-0.95,-2.27,0.75,-1.79,-3.34,0.18,1.05,-1.72,-8.10,0.06,0.07,0.18,-0.01,0.06,0.01,0.08,-0.04,0.41
1,1,1,28,-0.11,-0.28,0.01,-0.49,-0.62,0.04,0.26,-0.25,-1.43,0.01,0.01,0.05,0.00,0.02,0.00,0.03,-0.01,0.11
1,2,2,962,-8.65,-15.62,5.05,-12.40,-24.56,1.27,7.79,-11.32,-58.44,1.16,1.06,2.37,-0.15,1.03,0.26,1.40,-0.56,6.56
1,2,2,145.5,-0.45,-1.21,0.00,-1.96,-2.81,0.18,1.15,-1.00,-6.10,0.09,0.11,0.40,0.03,0.16,0.04,0.25,-0.09,0.98
1,3,3,43.6,-0.50,-0.99,0.34,-0.82,-1.41,0.07,0.41,-0.76,-3.67,0.05,0.05,0.12,-0.01,0.05,0.01,0.06,-0.03,0.30
1,3,3,14.9,-0.06,-0.20,0.01,-0.32,-0.37,0.02,0.15,-0.16,-0.94,0.01,0.01,0.05,0.00,0.02,0.00,0.02,-0.01,0.10
1,3,4,196.5,-1.86,-3.70,1.25,-3.06,-5.24,0.25,1.53,-2.85,-13.68,0.25,0.25,0.58,-0.03,0.23,0.05,0.28,-0.15,1.44
1,3,4,38.7,-0.15,-0.46,0.01,-0.76,-0.88,0.05,0.35,-0.37,-2.20,0.03,0.04,0.17,0.01,0.05,0.01,0.08,-0.04,0.36
1,4,5,25.1,-0.40,-0.69,0.20,-0.60,-0.99,0.04,0.26,-0.58,-2.76,0.01,0.01,0.04,0.00,0.01,0.00,0.02,-0.01,0.08
