Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
1,2020,18,6,22,5,18,5,17,20,3,7,,,21,24,1,17,,,17,20,1,9,,
1,2025,18,6,22,5,18,5,17,20,3,7,,,21,24,1,17,,,17,20,1,9,,
1,2030,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2035,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2040,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2045,18,6,22,5,15,5,17,20,3,7,,,21,24,1,17,,,14,17,1,8,,
1,2050,19,6,22,11,19,5,18,21,3,9,,,20,23,1,7,9,17,18,21,1,11,,
2,2020,16,4,20,3,18,4,15,18,1,7,,,19,22,1,6,,,17,20,1,7,,
2,2025,18,4,20,15,19,4,17,20,1,9,,,18,21,1,6,10,17,18,21,1,10,,
2,2030,18,4,20,15,19,4,17,20,1,9,,,18,21,1,6,10,17,18,21,1,10,,
2,2035,19,4,20,15,19,4,18,21,1,10,,,18,21,1,5,10,17,18,21,1,12,,
2,2040,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
2,2045,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
2,2050,19,9,20,14,20,10,17,20,8,11,,,18,21,11,16,,,18,21,8,14,,
3,2020,14,4,19,3,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2025,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2030,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2035,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2040,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2045,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
3,2050,14,4,19,4,14,3,13,16,1,6,,,18,21,1,6,,,13,16,1,6,,
4,2020,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2025,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2030,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2035,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2040,17,5,20,4,18,4,16,19,1,6,,,19,22,1,6,,,17,20,1,6,,
4,2045,17,5,20,4,18,4,16,19,1,7,,,19,22,1,6,,,17,20,1,6,,
4,2050,17,5,20,4,18,4,16,19,3,7,,,19,22,1,6,,,17,20,1,6,,
5,2020,14,4,19,4,13,4,13,16,1,7,,,18,21,1,6,,,12,15,1,6,,
5,2025,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2030,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2035,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2040,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2045,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
5,2050,14,4,19,4,20,4,13,16,1,7,,,18,21,1,6,,,19,22,1,6,,
6,2020,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2025,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2030,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2035,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2040,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2045,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
6,2050,13,4,18,4,13,4,12,15,1,6,,,17,20,1,7,,,12,15,1,7,,
7,2020,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2025,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2030,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2035,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2040,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2045,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
7,2050,15,4,19,4,21,4,14,17,1,7,,,18,21,1,7,,,20,23,1,7,,
8,2020,13,4,19,4,13,4,12,15,1,6,,,18,21,1,6,,,12,15,1,7,,
8,2025,13,4,19,4,21,4,12,15,1,6,,,18,21,1,6,,,20,23,1,7,,
8,2030,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2035,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2040,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2045,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
8,2050,21,4,19,4,21,4,20,23,1,6,,,18,21,1,6,9,16,20,23,1,10,,
9,2020,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2025,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2030,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2035,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2040,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2045,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2050,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
10,2020,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2025,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2030,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2035,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2040,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2045,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2050,14,3,20,4,13,3,13,16,1,6,,,19,22,1,7,,,12,15,1,6,,
11,2020,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2025,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2030,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2035,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2040,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
