EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr3,Inter-TakeStartHr3,Inter-TakeEndHr3
1,2020,21,4,20,23,1,7,,,,,16,5,15,18,2,7,,,,,15,4,14,17,1,7,,,,
2,2020,20,4,19,22,1,6,24,24,,,17,5,16,19,1,7,,,,,19,4,18,21,1,7,,,,
3,2020,12,3,11,14,1,6,24,24,,,11,3,10,13,1,6,,,,,11,3,10,13,1,6,24,24,,
4,2020,19,3,18,21,1,6,23,24,,,15,3,14,17,1,6,24,24,,,10,3,9,12,1,6,23,24,,
5,2020,19,4,18,21,1,6,24,24,,,13,3,12,15,1,5,24,24,,,10,3,9,12,1,5,24,24,,
6,2020,20,3,19,22,1,7,13,17,24,24,16,5,15,18,1,8,,,,,21,4,20,23,1,8,24,24,,
7,2020,19,4,18,21,1,6,,,,,21,4,20,23,1,6,,,,,20,3,19,22,1,6,,,,
8,2020,19,4,18,21,2,6,,,,,16,4,15,18,2,6,,,,,21,4,20,23,1,6,,,,
9,2020,20,3,19,22,1,6,24,24,,,12,4,11,14,1,6,,,,,21,4,20,23,1,6,24,24,,
10,2020,20,3,19,22,1,6,24,24,,,17,4,16,19,1,7,,,,,21,4,20,23,1,6,24,24,,
11,2020,20,3,19,22,1,6,24,24,,,16,4,15,18,1,6,,,,,11,3,10,13,1,7,23,24,,
12,2020,19,5,18,21,1,8,24,24,,,18,5,17,20,1,6,,,,,12,4,11,14,1,7,,,,
13,2020,19,3,18,21,1,6,11,16,24,24,18,4,17,20,1,6,,,,,21,4,20,23,1,6,24,24,,
14,2020,20,3,19,22,1,6,10,17,24,24,17,4,16,19,1,6,,,,,20,4,19,22,1,6,24,24,,
15,2020,19,3,18,21,1,6,8,17,22,24,15,3,14,17,1,7,24,24,,,20,3,19,22,1,6,8,8,23,24
16,2020,20,3,19,22,1,6,11,17,23,24,16,4,15,18,1,7,24,24,,,20,3,19,22,1,6,23,24,,
17,2020,11,3,10,13,1,7,23,24,,,15,4,14,17,1,6,,,,,12,3,11,14,1,6,24,24,,
18,2020,11,3,10,13,1,6,24,24,,,15,3,14,17,1,6,,,,,11,3,10,13,1,6,22,22,24,24
19,2020,11,3,10,13,1,6,24,24,,,14,4,13,16,1,6,,,,,11,3,10,13,1,6,24,24,,
20,2020,20,15,18,21,1,6,9,17,24,24,17,4,16,19,1,9,,,,,20,4,19,22,1,16,23,24,,
21,2020,19,13,17,20,1,6,9,16,,,21,10,19,22,1,5,9,16,,,20,10,18,21,1,5,9,16,,
22,2020,19,12,17,20,11,14,,,,,21,11,19,22,10,14,,,,,20,10,18,21,10,14,,,,
