EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
1,2025,18,5,17,20,2,7,,,,,9,5,7,10,1,7,9,17,,,19,4,18,21,1,15,,,,
2,2025,19,5,18,21,2,12,,,,,9,13,7,10,4,4,10,16,,,19,11,17,20,2,6,9,14,,
3,2025,18,4,17,20,1,5,,,,,9,4,7,10,1,6,24,24,,,10,3,9,12,1,6,24,24,,
4,2025,16,3,15,18,1,6,24,24,,,9,3,7,10,1,6,13,16,23,24,19,3,18,21,1,6,23,24,,
5,2025,19,3,18,21,1,5,11,15,24,24,9,4,7,10,1,6,11,16,24,24,20,14,18,21,1,5,11,16,24,24
6,2025,19,11,17,20,9,14,,,,,9,13,7,10,11,15,,,,,20,11,18,21,10,15,,,,
7,2025,18,4,17,20,1,14,,,,,9,13,7,10,1,6,10,15,,,19,4,18,21,1,15,24,24,,
8,2025,17,4,16,19,1,7,,,,,9,5,7,10,1,7,,,,,18,5,17,20,1,7,,,,
9,2025,19,4,18,21,1,6,,,,,9,4,7,10,1,6,10,15,24,24,19,4,18,21,1,7,9,15,24,24
10,2025,18,5,17,20,1,11,,,,,9,13,7,10,1,6,10,16,,,21,12,19,22,1,16,24,24,,
11,2025,18,4,17,20,1,6,,,,,9,3,7,10,1,6,14,16,24,24,19,3,18,21,1,6,24,24,,
12,2025,17,5,16,19,1,6,,,,,9,5,7,10,1,7,,,,,12,5,11,14,1,7,,,,
13,2025,19,4,18,21,1,11,,,,,9,14,7,10,11,16,,,,,21,12,19,22,1,6,9,15,,
14,2025,18,4,17,20,1,7,,,,,9,14,7,10,1,5,10,17,,,20,4,19,22,1,6,8,16,24,24
15,2025,19,4,18,21,1,12,24,24,,,9,13,7,10,11,16,,,,,19,11,17,20,1,1,3,3,9,15
16,2025,19,11,17,20,3,5,8,14,,,9,13,7,10,11,15,,,,,20,12,18,21,10,15,,,,
17,2025,19,4,18,21,1,6,,,,,9,15,7,10,1,5,11,16,,,19,3,18,21,1,6,10,15,24,24
18,2025,19,4,18,21,1,5,,,,,9,14,7,10,3,3,12,15,,,19,13,17,20,1,5,11,15,24,24
19,2025,15,4,14,17,1,6,24,24,,,9,3,7,10,1,6,24,24,,,11,3,10,13,1,6,24,24,,
20,2025,18,4,17,20,1,10,,,,,9,14,7,10,10,16,,,,,19,11,17,20,1,1,3,4,9,15
21,2025,21,10,19,22,10,15,,,,,9,13,7,10,10,15,,,,,21,11,19,22,10,15,,,,
22,2025,22,11,20,23,10,14,,,,,9,12,7,10,11,14,,,,,20,12,18,21,10,14,,,,
23,2025,19,3,18,21,1,6,9,16,23,24,9,13,7,10,1,5,11,16,24,24,19,13,17,20,1,5,10,16,24,24
24,2025,18,3,17,20,1,6,9,10,24,24,9,13,7,10,1,6,10,15,,,19,3,18,21,1,6,9,15,24,24
25,2025,19,10,17,20,9,15,,,,,9,13,7,10,11,15,,,,,20,13,18,21,10,15,,,,
1,2030,19,11,17,20,4,6,9,13,,,9,13,7,10,11,16,,,,,19,12,17,20,10,15,,,,
2,2030,19,11,17,20,10,13,,,,,9,13,7,10,11,15,,,,,19,12,17,20,10,14,,,,
3,2030,9,3,8,11,1,5,,,,,9,4,7,10,1,6,24,24,,,11,3,10,13,1,5,24,24,,
4,2030,18,3,17,20,1,5,24,24,,,9,14,7,10,1,5,11,16,23,24,18,3,17,20,1,6,13,14,23,24
5,2030,19,13,17,20,11,15,,,,,9,14,7,10,12,15,,,,,20,14,18,21,11,15,,,,
6,2030,20,12,18,21,10,14,,,,,9,12,7,10,11,14,,,,,20,12,18,21,11,15,,,,
7,2030,18,12,16,19,1,1,3,7,9,15,9,13,7,10,5,5,10,15,,,18,13,16,19,1,1,4,6,10,15
8,2030,18,5,17,20,1,7,,,,,9,5,7,10,2,15,,,,,18,5,17,20,1,14,,,,
9,2030,19,5,18,21,1,8,10,13,,,9,13,7,10,1,6,10,15,,,19,12,17,20,1,16,,,,
10,2030,19,11,17,20,3,6,8,15,,,9,13,7,10,11,15,,,,,19,12,17,20,10,15,,,,
11,2030,19,12,17,20,1,1,3,6,10,15,9,13,7,10,11,16,,,,,19,13,17,20,10,15,,,,
12,2030,18,5,17,20,1,7,,,,,9,5,7,10,1,7,,,,,18,5,17,20,1,7,,,,
13,2030,19,11,17,20,9,14,,,,,9,13,7,10,11,15,,,,,21,12,19,22,10,15,,,,
14,2030,19,12,17,20,9,14,,,,,9,13,7,10,11,15,,,,,20,12,18,21,11,14,,,,
15,2030,20,12,18,21,10,13,,,,,9,13,7,10,11,15,,,,,20,12,18,21,11,14,,,,
16,2030,19,11,17,20,9,14,,,,,9,13,7,10,11,15,,,,,19,12,17,20,10,14,,,,
17,2030,19,11,17,20,2,5,10,13,,,9,13,7,10,10,16,,,,,19,16,17,20,1,6,9,16,24,24
18,2030,18,3,17,20,1,5,,,,,9,3,7,10,1,5,14,14,,,18,3,17,20,1,5,24,24,,
19,2030,18,2,17,20,1,5,24,24,,,9,3,7,10,1,5,24,24,,,18,4,17,20,1,6,23,24,,
20,2030,18,5,17,20,1,6,,,,,9,14,7,10,11,16,,,,,19,14,17,20,1,1,3,4,10,16
21,2030,21,10,19,22,10,15,,,,,9,13,7,10,11,14,,,,,21,11,19,22,10,15,,,,
22,2030,20,11,18,21,10,14,,,,,9,12,7,10,11,14,,,,,21,12,19,22,11,14,,,,
23,2030,19,15,17,20,3,5,9,16,,,9,13,7,10,11,15,,,,,19,14,17,20,10,15,,,,
24,2030,18,3,17,20,1,5,24,24,,,9,13,7,10,1,6,10,15,,,19,4,18,21,1,5,13,14,24,24
25,2030,20,10,18,21,10,15,,,,,9,13,7,10,11,14,,,,,20,12,18,21,10,15,,,,
1,2035,19,11,17,20,10,13,,,,,9,14,7,10,11,15,,,,,19,12,17,20,10,15,,,,
2,2035,19,12,17,20,10,13,,,,,9,14,7,10,11,15,,,,,19,12,17,20,11,14,,,,
