Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
1,2020,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2025,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2030,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2035,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2040,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2045,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
1,2050,15,6,22,5,15,5,14,17,2,7,,,21,24,1,18,,,14,17,1,8,,
2,2020,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2025,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2030,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2035,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2040,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2045,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
2,2050,16,4,20,3,16,4,15,18,1,7,,,19,22,1,6,,,15,18,1,7,,
3,2020,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2025,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2030,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2035,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2040,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2045,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
3,2050,14,3,19,3,12,3,13,16,1,6,,,18,21,1,6,,,11,14,1,6,,
4,2020,15,4,19,3,14,4,14,17,1,6,,,18,21,1,7,,,13,16,1,7,,
4,2025,15,4,19,3,14,4,14,17,1,6,,,18,21,1,7,,,13,16,1,7,,
4,2030,15,4,19,3,14,4,14,17,1,6,,,18,21,1,7,,,13,16,1,7,,
