EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
1,2025,16,5,15,18,2,7,,,,,9,5,5,10,1,8,10,11,16,17,15,5,14,17,1,7,,,,
2,2025,16,5,15,18,1,7,,,,,9,4,5,10,1,7,24,24,,,16,4,15,18,1,7,,,,
3,2025,14,4,13,16,1,6,24,24,,,9,4,5,10,1,6,24,24,,,12,4,11,14,1,6,24,24,,
4,2025,15,3,14,17,1,6,24,24,,,9,3,5,10,1,6,14,16,23,24,20,3,19,22,1,6,23,24,,
5,2025,15,3,14,17,1,5,24,24,,,9,4,5,10,1,6,24,24,,,11,3,10,13,1,6,23,24,,
6,2025,17,5,16,19,1,8,,,,,9,4,5,10,1,8,15,17,23,24,20,4,19,22,1,8,24,24,,
7,2025,15,4,14,17,1,6,,,,,9,4,5,10,1,6,24,24,,,19,4,18,21,1,6,24,24,,
8,2025,13,4,12,15,1,7,,,,,9,5,5,10,1,7,,,,,18,5,17,20,1,7,,,,
9,2025,13,4,12,15,1,6,,,,,9,4,5,10,1,6,24,24,,,21,4,20,23,1,7,24,24,,
10,2025,16,5,15,18,1,7,,,,,9,4,5,10,1,6,24,24,,,21,4,20,23,1,7,24,24,,
11,2025,16,4,15,18,1,7,,,,,9,3,5,10,1,7,24,24,,,13,4,12,15,1,7,24,24,,
12,2025,16,5,15,18,1,7,,,,,9,5,5,10,1,7,,,,,13,5,12,15,1,7,,,,
